trial,fem,face,race,scale
1.1,100,w1_0,White,
2.1,83.33,w1_1,White,
3.1,66.67,w1_2,White,
4.1,50,w1_3,White,
5.1,33.33,w1_4,White,
6.1,16.67,w1_5,White,
7.1,0,w1_6,White,
8.1,100,w2_0,White,
9.1,83.33,w2_1,White,
10.1,66.67,w2_2,White,
11.1,50,w2_3,White,
12.1,33.33,w2_4,White,
13.1,16.67,w2_5,White,
14.1,0,w2_6,White,
15.1,100,w3_0,White,
16.1,83.33,w3_1,White,
17.1,66.67,w3_2,White,
18.1,50,w3_3,White,
19.1,33.33,w3_4,White,
20.1,16.67,w3_5,White,
21.1,0,w3_6,White,
22.1,100,w4_0,White,
23.1,83.33,w4_1,White,
24.1,66.67,w4_2,White,
25.1,50,w4_3,White,
26.1,33.33,w4_4,White,
27.1,16.67,w4_5,White,
28.1,0,w4_6,White,
29.1,100,w5_0,White,
30.1,83.33,w5_1,White,
31.1,66.67,w5_2,White,
32.1,50,w5_3,White,
33.1,33.33,w5_4,White,
34.1,16.67,w5_5,White,
35.1,0,w5_6,White,
36.1,100,w6_0,White,
37.1,83.33,w6_1,White,
38.1,66.67,w6_2,White,
39.1,50,w6_3,White,
40.1,33.33,w6_4,White,
41.1,16.67,w6_5,White,
42.1,0,w6_6,White,
43.1,100,w7_0,White,
44.1,83.33,w7_1,White,
45.1,66.67,w7_2,White,
46.1,50,w7_3,White,
47.1,33.33,w7_4,White,
48.1,16.67,w7_5,White,
49.1,0,w7_6,White,
50.1,100,w8_0,White,
51.1,83.33,w8_1,White,
52.1,66.67,w8_2,White,
53.1,50,w8_3,White,
54.1,33.33,w8_4,White,
55.1,16.67,w8_5,White,
56.1,0,w8_6,White,
57.1,100,w9_0,White,
58.1,83.33,w9_1,White,
59.1,66.67,w9_2,White,
60.1,50,w9_3,White,
61.1,33.33,w9_4,White,
62.1,16.67,w9_5,White,
63.1,0,w9_6,White,
64.1,100,w10_0,White,
65.1,83.33,w10_1,White,
66.1,66.67,w10_2,White,
67.1,50,w10_3,White,
68.1,33.33,w10_4,White,
69.1,16.67,w10_5,White,
70.1,0,w10_6,White,
101.1,0,w1_0,Black,
102.1,16.67,w1_1,Black,
103.1,33.33,w1_2,Black,
104.1,50,w1_3,Black,
105.1,66.67,w1_4,Black,
106.1,83.33,w1_5,Black,
107.1,100,w1_6,Black,
108.1,100,w2_0,Black,
109.1,83.33,w2_1,Black,
110.1,66.67,w2_2,Black,
111.1,50,w2_3,Black,
112.1,33.33,w2_4,Black,
113.1,16.67,w2_5,Black,
114.1,0,w2_6,Black,
115.1,100,w3_0,Black,
116.1,83.33,w3_1,Black,
117.1,66.67,w3_2,Black,
118.1,50,w3_3,Black,
119.1,33.33,w3_4,Black,
120.1,16.67,w3_5,Black,
121.1,0,w3_6,Black,
122.1,100,w4_0,Black,
123.1,83.33,w4_1,Black,
124.1,66.67,w4_2,Black,
125.1,50,w4_3,Black,
126.1,33.33,w4_4,Black,
127.1,16.67,w4_5,Black,
128.1,0,w4_6,Black,
129.1,100,w5_0,Black,
130.1,83.33,w5_1,Black,
131.1,66.67,w5_2,Black,
132.1,50,w5_3,Black,
133.1,33.33,w5_4,Black,
134.1,16.67,w5_5,Black,
135.1,0,w5_6,Black,
