id,condition,face,morph,scale,categorization,Age_1,Gender_1,Gender_binary_beliefs_1,Gender_binary_beliefs_2,Gender_binary_beliefs_3,Gender_binary_beliefs_4,race,masc,fem
1,md,w5,0,f,2,53,Female,2,1,1,4,w,100,0
1,md,w5,1,f,7,53,Female,2,1,1,4,w,83.33,16.67
1,md,w5,2,f,21,53,Female,2,1,1,4,w,66.67,33.33
1,md,w5,3,f,30,53,Female,2,1,1,4,w,50,50
1,md,w5,4,f,66,53,Female,2,1,1,4,w,33.33,66.67
1,md,w5,5,f,83,53,Female,2,1,1,4,w,16.67,83.33
1,md,w5,6,f,99,53,Female,2,1,1,4,w,0,100
1,md,w10,0,f,0,53,Female,2,1,1,4,w,100,0
1,md,w10,1,f,0,53,Female,2,1,1,4,w,83.33,16.67
1,md,w10,2,f,2,53,Female,2,1,1,4,w,66.67,33.33
1,md,w10,3,f,23,53,Female,2,1,1,4,w,50,50
1,md,w10,4,f,80,53,Female,2,1,1,4,w,33.33,66.67
1,md,w10,5,f,100,53,Female,2,1,1,4,w,16.67,83.33
1,md,w10,6,f,94,53,Female,2,1,1,4,w,0,100
1,md,w9,0,f,17,53,Female,2,1,1,4,w,100,0
1,md,w9,1,f,4,53,Female,2,1,1,4,w,83.33,16.67
1,md,w9,2,f,7,53,Female,2,1,1,4,w,66.67,33.33
1,md,w9,3,f,9,53,Female,2,1,1,4,w,50,50
1,md,w9,4,f,93,53,Female,2,1,1,4,w,33.33,66.67
1,md,w9,5,f,84,53,Female,2,1,1,4,w,16.67,83.33
1,md,w9,6,f,89,53,Female,2,1,1,4,w,0,100
1,md,b5,0,f,95,53,Female,2,1,1,4,b,0,100
1,md,b5,1,f,100,53,Female,2,1,1,4,b,16.67,83.33
1,md,b5,2,f,66,53,Female,2,1,1,4,b,33.33,66.67
1,md,b5,3,f,18,53,Female,2,1,1,4,b,50,50
1,md,b5,4,f,0,53,Female,2,1,1,4,b,66.67,33.33
1,md,b5,5,f,0,53,Female,2,1,1,4,b,83.33,16.67
1,md,b5,6,f,0,53,Female,2,1,1,4,b,100,0
1,md,a3,0,f,99,53,Female,2,1,1,4,a,0,100
1,md,a3,1,f,83,53,Female,2,1,1,4,a,16.67,83.33
1,md,a3,2,f,50,53,Female,2,1,1,4,a,33.33,66.67
1,md,a3,3,f,66,53,Female,2,1,1,4,a,50,50
1,md,a3,4,f,0,53,Female,2,1,1,4,a,66.67,33.33
1,md,a3,5,f,1,53,Female,2,1,1,4,a,83.33,16.67
1,md,a3,6,f,0,53,Female,2,1,1,4,a,100,0
1,md,a4,0,f,100,53,Female,2,1,1,4,a,0,100
1,md,a4,1,f,99,53,Female,2,1,1,4,a,16.67,83.33
1,md,a4,2,f,100,53,Female,2,1,1,4,a,33.33,66.67
1,md,a4,3,f,82,53,Female,2,1,1,4,a,50,50
1,md,a4,4,f,50,53,Female,2,1,1,4,a,66.67,33.33
1,md,a4,5,f,0,53,Female,2,1,1,4,a,83.33,16.67
1,md,a4,6,f,0,53,Female,2,1,1,4,a,100,0
1,md,b6,0,f,99,53,Female,2,1,1,4,b,0,100
1,md,b6,1,f,99,53,Female,2,1,1,4,b,16.67,83.33
1,md,b6,2,f,95,53,Female,2,1,1,4,b,33.33,66.67
1,md,b6,3,f,47,53,Female,2,1,1,4,b,50,50
1,md,b6,4,f,22,53,Female,2,1,1,4,b,66.67,33.33
1,md,b6,5,f,19,53,Female,2,1,1,4,b,83.33,16.67
1,md,b6,6,f,2,53,Female,2,1,1,4,b,100,0
1,md,b7,0,f,99,53,Female,2,1,1,4,b,0,100
1,md,b7,1,f,98,53,Female,2,1,1,4,b,16.67,83.33
1,md,b7,2,f,94,53,Female,2,1,1,4,b,33.33,66.67
1,md,b7,3,f,54,53,Female,2,1,1,4,b,50,50
1,md,b7,4,f,0,53,Female,2,1,1,4,b,66.67,33.33
1,md,b7,5,f,8,53,Female,2,1,1,4,b,83.33,16.67
1,md,b7,6,f,0,53,Female,2,1,1,4,b,100,0
1,md,a5,0,f,99,53,Female,2,1,1,4,a,0,100
1,md,a5,1,f,96,53,Female,2,1,1,4,a,16.67,83.33
1,md,a5,2,f,95,53,Female,2,1,1,4,a,33.33,66.67
1,md,a5,3,f,48,53,Female,2,1,1,4,a,50,50
1,md,a5,4,f,52,53,Female,2,1,1,4,a,66.67,33.33
1,md,a5,5,f,2,53,Female,2,1,1,4,a,83.33,16.67
1,md,a5,6,f,0,53,Female,2,1,1,4,a,100,0
1,md,w5,0,m,100,53,Female,2,1,1,4,w,100,0
1,md,w5,1,m,98,53,Female,2,1,1,4,w,83.33,16.67
1,md,w5,2,m,92,53,Female,2,1,1,4,w,66.67,33.33
1,md,w5,3,m,66,53,Female,2,1,1,4,w,50,50
1,md,w5,4,m,20,53,Female,2,1,1,4,w,33.33,66.67
1,md,w5,5,m,17,53,Female,2,1,1,4,w,16.67,83.33
1,md,w5,6,m,0,53,Female,2,1,1,4,w,0,100
1,md,w10,0,m,100,53,Female,2,1,1,4,w,100,0
1,md,w10,1,m,100,53,Female,2,1,1,4,w,83.33,16.67
1,md,w10,2,m,100,53,Female,2,1,1,4,w,66.67,33.33
1,md,w10,3,m,98,53,Female,2,1,1,4,w,50,50
1,md,w10,4,m,48,53,Female,2,1,1,4,w,33.33,66.67
1,md,w10,5,m,12,53,Female,2,1,1,4,w,16.67,83.33
1,md,w10,6,m,2,53,Female,2,1,1,4,w,0,100
1,md,w9,0,m,99,53,Female,2,1,1,4,w,100,0
1,md,w9,1,m,98,53,Female,2,1,1,4,w,83.33,16.67
1,md,w9,2,m,83,53,Female,2,1,1,4,w,66.67,33.33
1,md,w9,3,m,80,53,Female,2,1,1,4,w,50,50
1,md,w9,4,m,58,53,Female,2,1,1,4,w,33.33,66.67
1,md,w9,5,m,19,53,Female,2,1,1,4,w,16.67,83.33
1,md,w9,6,m,4,53,Female,2,1,1,4,w,0,100
1,md,b5,0,m,0,53,Female,2,1,1,4,b,0,100
1,md,b5,1,m,1,53,Female,2,1,1,4,b,16.67,83.33
1,md,b5,2,m,10,53,Female,2,1,1,4,b,33.33,66.67
1,md,b5,3,m,77,53,Female,2,1,1,4,b,50,50
1,md,b5,4,m,100,53,Female,2,1,1,4,b,66.67,33.33
1,md,b5,5,m,100,53,Female,2,1,1,4,b,83.33,16.67
1,md,b5,6,m,100,53,Female,2,1,1,4,b,100,0
1,md,a3,0,m,7,53,Female,2,1,1,4,a,0,100
1,md,a3,1,m,2,53,Female,2,1,1,4,a,16.67,83.33
1,md,a3,2,m,15,53,Female,2,1,1,4,a,33.33,66.67
1,md,a3,3,m,79,53,Female,2,1,1,4,a,50,50
1,md,a3,4,m,90,53,Female,2,1,1,4,a,66.67,33.33
1,md,a3,5,m,100,53,Female,2,1,1,4,a,83.33,16.67
1,md,a3,6,m,100,53,Female,2,1,1,4,a,100,0
1,md,a4,0,m,0,53,Female,2,1,1,4,a,0,100
1,md,a4,1,m,2,53,Female,2,1,1,4,a,16.67,83.33
1,md,a4,2,m,13,53,Female,2,1,1,4,a,33.33,66.67
1,md,a4,3,m,46,53,Female,2,1,1,4,a,50,50
1,md,a4,4,m,51,53,Female,2,1,1,4,a,66.67,33.33
1,md,a4,5,m,96,53,Female,2,1,1,4,a,83.33,16.67
1,md,a4,6,m,100,53,Female,2,1,1,4,a,100,0
1,md,b6,0,m,1,53,Female,2,1,1,4,b,0,100
1,md,b6,1,m,1,53,Female,2,1,1,4,b,16.67,83.33
1,md,b6,2,m,18,53,Female,2,1,1,4,b,33.33,66.67
1,md,b6,3,m,10,53,Female,2,1,1,4,b,50,50
1,md,b6,4,m,70,53,Female,2,1,1,4,b,66.67,33.33
1,md,b6,5,m,99,53,Female,2,1,1,4,b,83.33,16.67
1,md,b6,6,m,100,53,Female,2,1,1,4,b,100,0
1,md,b7,0,m,0,53,Female,2,1,1,4,b,0,100
1,md,b7,1,m,1,53,Female,2,1,1,4,b,16.67,83.33
1,md,b7,2,m,18,53,Female,2,1,1,4,b,33.33,66.67
1,md,b7,3,m,29,53,Female,2,1,1,4,b,50,50
1,md,b7,4,m,72,53,Female,2,1,1,4,b,66.67,33.33
1,md,b7,5,m,99,53,Female,2,1,1,4,b,83.33,16.67
1,md,b7,6,m,100,53,Female,2,1,1,4,b,100,0
1,md,a5,0,m,7,53,Female,2,1,1,4,a,0,100
1,md,a5,1,m,2,53,Female,2,1,1,4,a,16.67,83.33
1,md,a5,2,m,3,53,Female,2,1,1,4,a,33.33,66.67
1,md,a5,3,m,25,53,Female,2,1,1,4,a,50,50
1,md,a5,4,m,64,53,Female,2,1,1,4,a,66.67,33.33
1,md,a5,5,m,97,53,Female,2,1,1,4,a,83.33,16.67
1,md,a5,6,m,100,53,Female,2,1,1,4,a,100,0
2,ft,w1,0,1,Man,23,Female,1,1,1,1,w,100,0
2,ft,w1,1,1,man,23,Female,1,1,1,1,w,83.33,16.67
2,ft,w1,2,1,nonbinary,23,Female,1,1,1,1,w,66.67,33.33
2,ft,w1,3,1,Woman,23,Female,1,1,1,1,w,50,50
2,ft,w1,4,1,Woman,23,Female,1,1,1,1,w,33.33,66.67
2,ft,w1,5,1,wman,23,Female,1,1,1,1,w,16.67,83.33
2,ft,w1,6,1,woman,23,Female,1,1,1,1,w,0,100
2,ft,w3,0,1,man,23,Female,1,1,1,1,w,100,0
2,ft,w3,1,1,man,23,Female,1,1,1,1,w,83.33,16.67
2,ft,w3,2,1,man,23,Female,1,1,1,1,w,66.67,33.33
2,ft,w3,3,1,Man,23,Female,1,1,1,1,w,50,50
2,ft,w3,4,1,Woman,23,Female,1,1,1,1,w,33.33,66.67
2,ft,w3,5,1,woman,23,Female,1,1,1,1,w,16.67,83.33
2,ft,w3,6,1,woman,23,Female,1,1,1,1,w,0,100
2,ft,w4,0,1,Man,23,Female,1,1,1,1,w,100,0
2,ft,w4,1,1,man,23,Female,1,1,1,1,w,83.33,16.67
2,ft,w4,2,1,man,23,Female,1,1,1,1,w,66.67,33.33
2,ft,w4,3,1,woman,23,Female,1,1,1,1,w,50,50
2,ft,w4,4,1,Woman,23,Female,1,1,1,1,w,33.33,66.67
2,ft,w4,5,1,woman,23,Female,1,1,1,1,w,16.67,83.33
2,ft,w4,6,1,woman,23,Female,1,1,1,1,w,0,100
2,ft,w5,0,1,man,23,Female,1,1,1,1,w,100,0
2,ft,w5,1,1,Man,23,Female,1,1,1,1,w,83.33,16.67
2,ft,w5,2,1,Nonbinary,23,Female,1,1,1,1,w,66.67,33.33
2,ft,w5,3,1,woman,23,Female,1,1,1,1,w,50,50
2,ft,w5,4,1,woman,23,Female,1,1,1,1,w,33.33,66.67
2,ft,w5,5,1,Woman,23,Female,1,1,1,1,w,16.67,83.33
2,ft,w5,6,1,woman,23,Female,1,1,1,1,w,0,100
2,ft,w10,0,1,man,23,Female,1,1,1,1,w,100,0
2,ft,w10,1,1,man,23,Female,1,1,1,1,w,83.33,16.67
2,ft,w10,2,1,nonbinary,23,Female,1,1,1,1,w,66.67,33.33
2,ft,w10,3,1,man,23,Female,1,1,1,1,w,50,50
2,ft,w10,4,1,Woman,23,Female,1,1,1,1,w,33.33,66.67
2,ft,w10,5,1,woman,23,Female,1,1,1,1,w,16.67,83.33
2,ft,w10,6,1,Woman,23,Female,1,1,1,1,w,0,100
2,ft,w9,0,1,man,23,Female,1,1,1,1,w,100,0
2,ft,w9,1,1,Man,23,Female,1,1,1,1,w,83.33,16.67
2,ft,w9,2,1,Man,23,Female,1,1,1,1,w,66.67,33.33
2,ft,w9,3,1,woman,23,Female,1,1,1,1,w,50,50
2,ft,w9,4,1,woman,23,Female,1,1,1,1,w,33.33,66.67
2,ft,w9,5,1,Woman,23,Female,1,1,1,1,w,16.67,83.33
2,ft,w9,6,1,woman,23,Female,1,1,1,1,w,0,100
2,ft,b2,0,1,Woman,23,Female,1,1,1,1,b,0,100
2,ft,b2,1,1,woman,23,Female,1,1,1,1,b,16.67,83.33
2,ft,b2,2,1,woman,23,Female,1,1,1,1,b,33.33,66.67
2,ft,b2,3,1,woman,23,Female,1,1,1,1,b,50,50
2,ft,b2,4,1,Man,23,Female,1,1,1,1,b,66.67,33.33
2,ft,b2,5,1,Man,23,Female,1,1,1,1,b,83.33,16.67
2,ft,b2,6,1,man,23,Female,1,1,1,1,b,100,0
2,ft,b4,0,1,woman,23,Female,1,1,1,1,b,0,100
2,ft,b4,1,1,woman,23,Female,1,1,1,1,b,16.67,83.33
2,ft,b4,2,1,Woman,23,Female,1,1,1,1,b,33.33,66.67
2,ft,b4,3,1,man,23,Female,1,1,1,1,b,50,50
2,ft,b4,4,1,man,23,Female,1,1,1,1,b,66.67,33.33
2,ft,b4,5,1,man,23,Female,1,1,1,1,b,83.33,16.67
2,ft,b4,6,1,man,23,Female,1,1,1,1,b,100,0
2,ft,b5,0,1,woman,23,Female,1,1,1,1,b,0,100
2,ft,b5,1,1,Woman,23,Female,1,1,1,1,b,16.67,83.33
2,ft,b5,2,1,woman,23,Female,1,1,1,1,b,33.33,66.67
2,ft,b5,3,1,Man,23,Female,1,1,1,1,b,50,50
2,ft,b5,4,1,man,23,Female,1,1,1,1,b,66.67,33.33
2,ft,b5,5,1,man,23,Female,1,1,1,1,b,83.33,16.67
2,ft,b5,6,1,man,23,Female,1,1,1,1,b,100,0
2,ft,b6,0,1,woman,23,Female,1,1,1,1,b,0,100
2,ft,b6,1,1,Woman,23,Female,1,1,1,1,b,16.67,83.33
2,ft,b6,2,1,Woman,23,Female,1,1,1,1,b,33.33,66.67
2,ft,b6,3,1,nonbinary,23,Female,1,1,1,1,b,50,50
2,ft,b6,4,1,Man,23,Female,1,1,1,1,b,66.67,33.33
2,ft,b6,5,1,Man,23,Female,1,1,1,1,b,83.33,16.67
2,ft,b6,6,1,Man,23,Female,1,1,1,1,b,100,0
2,ft,b7,0,1,Woman,23,Female,1,1,1,1,b,0,100
2,ft,b7,1,1,woman,23,Female,1,1,1,1,b,16.67,83.33
2,ft,b7,2,1,Man,23,Female,1,1,1,1,b,33.33,66.67
2,ft,b7,3,1,man,23,Female,1,1,1,1,b,50,50
2,ft,b7,4,1,man,23,Female,1,1,1,1,b,66.67,33.33
2,ft,b7,5,1,man,23,Female,1,1,1,1,b,83.33,16.67
2,ft,b7,6,1,man,23,Female,1,1,1,1,b,100,0
2,ft,b9,0,1,woman,23,Female,1,1,1,1,b,0,100
2,ft,b9,1,1,woman,23,Female,1,1,1,1,b,16.67,83.33
2,ft,b9,2,1,Woman,23,Female,1,1,1,1,b,33.33,66.67
2,ft,b9,3,1,Woman,23,Female,1,1,1,1,b,50,50
2,ft,b9,4,1,Man,23,Female,1,1,1,1,b,66.67,33.33
2,ft,b9,5,1,man,23,Female,1,1,1,1,b,83.33,16.67
2,ft,b9,6,1,man,23,Female,1,1,1,1,b,100,0
2,ft,a1,0,1,woman,23,Female,1,1,1,1,a,0,100
2,ft,a1,1,1,woman,23,Female,1,1,1,1,a,16.67,83.33
2,ft,a1,2,1,woman,23,Female,1,1,1,1,a,33.33,66.67
2,ft,a1,3,1,man,23,Female,1,1,1,1,a,50,50
2,ft,a1,4,1,man,23,Female,1,1,1,1,a,66.67,33.33
2,ft,a1,5,1,man,23,Female,1,1,1,1,a,83.33,16.67
2,ft,a1,6,1,man,23,Female,1,1,1,1,a,100,0
2,ft,a3,0,1,woman,23,Female,1,1,1,1,a,0,100
2,ft,a3,1,1,woman,23,Female,1,1,1,1,a,16.67,83.33
2,ft,a3,2,1,man,23,Female,1,1,1,1,a,33.33,66.67
2,ft,a3,3,1,man,23,Female,1,1,1,1,a,50,50
2,ft,a3,4,1,man,23,Female,1,1,1,1,a,66.67,33.33
2,ft,a3,5,1,man,23,Female,1,1,1,1,a,83.33,16.67
2,ft,a3,6,1,man,23,Female,1,1,1,1,a,100,0
2,ft,a4,0,1,Woman,23,Female,1,1,1,1,a,0,100
2,ft,a4,1,1,woman,23,Female,1,1,1,1,a,16.67,83.33
2,ft,a4,2,1,woman,23,Female,1,1,1,1,a,33.33,66.67
2,ft,a4,3,1,Woman,23,Female,1,1,1,1,a,50,50
2,ft,a4,4,1,Man,23,Female,1,1,1,1,a,66.67,33.33
2,ft,a4,5,1,Man,23,Female,1,1,1,1,a,83.33,16.67
2,ft,a4,6,1,man,23,Female,1,1,1,1,a,100,0
2,ft,a5,0,1,woman,23,Female,1,1,1,1,a,0,100
2,ft,a5,1,1,woman,23,Female,1,1,1,1,a,16.67,83.33
2,ft,a5,2,1,Woman,23,Female,1,1,1,1,a,33.33,66.67
2,ft,a5,3,1,woman,23,Female,1,1,1,1,a,50,50
2,ft,a5,4,1,man,23,Female,1,1,1,1,a,66.67,33.33
2,ft,a5,5,1,man,23,Female,1,1,1,1,a,83.33,16.67
2,ft,a5,6,1,Man,23,Female,1,1,1,1,a,100,0
2,ft,a8,0,1,woman,23,Female,1,1,1,1,a,0,100
2,ft,a8,1,1,woman,23,Female,1,1,1,1,a,16.67,83.33
2,ft,a8,2,1,woman,23,Female,1,1,1,1,a,33.33,66.67
2,ft,a8,3,1,man,23,Female,1,1,1,1,a,50,50
2,ft,a8,4,1,Male,23,Female,1,1,1,1,a,66.67,33.33
2,ft,a8,5,1,man,23,Female,1,1,1,1,a,83.33,16.67
2,ft,a8,6,1,man,23,Female,1,1,1,1,a,100,0
2,ft,a10,0,1,woman,23,Female,1,1,1,1,a,0,100
2,ft,a10,1,1,woman,23,Female,1,1,1,1,a,16.67,83.33
2,ft,a10,2,1,woman,23,Female,1,1,1,1,a,33.33,66.67
2,ft,a10,3,1,man,23,Female,1,1,1,1,a,50,50
2,ft,a10,4,1,man,23,Female,1,1,1,1,a,66.67,33.33
2,ft,a10,5,1,Man,23,Female,1,1,1,1,a,83.33,16.67
2,ft,a10,6,1,man,23,Female,1,1,1,1,a,100,0
3,xb,w1,0,1,2,67,Male,2,2,2,3,w,100,0
3,xb,w1,1,1,2,67,Male,2,2,2,3,w,83.33,16.67
3,xb,w1,2,1,1,67,Male,2,2,2,3,w,66.67,33.33
3,xb,w1,3,1,1,67,Male,2,2,2,3,w,50,50
3,xb,w1,4,1,1,67,Male,2,2,2,3,w,33.33,66.67
3,xb,w1,5,1,1,67,Male,2,2,2,3,w,16.67,83.33
3,xb,w1,6,1,1,67,Male,2,2,2,3,w,0,100
3,xb,w3,0,1,2,67,Male,2,2,2,3,w,100,0
3,xb,w3,1,1,2,67,Male,2,2,2,3,w,83.33,16.67
3,xb,w3,2,1,1,67,Male,2,2,2,3,w,66.67,33.33
3,xb,w3,3,1,1,67,Male,2,2,2,3,w,50,50
3,xb,w3,4,1,1,67,Male,2,2,2,3,w,33.33,66.67
3,xb,w3,5,1,1,67,Male,2,2,2,3,w,16.67,83.33
3,xb,w3,6,1,1,67,Male,2,2,2,3,w,0,100
3,xb,w4,0,1,2,67,Male,2,2,2,3,w,100,0
3,xb,w4,1,1,2,67,Male,2,2,2,3,w,83.33,16.67
3,xb,w4,2,1,2,67,Male,2,2,2,3,w,66.67,33.33
3,xb,w4,3,1,1,67,Male,2,2,2,3,w,50,50
3,xb,w4,4,1,1,67,Male,2,2,2,3,w,33.33,66.67
3,xb,w4,5,1,1,67,Male,2,2,2,3,w,16.67,83.33
3,xb,w4,6,1,1,67,Male,2,2,2,3,w,0,100
3,xb,w5,0,1,2,67,Male,2,2,2,3,w,100,0
3,xb,w5,1,1,1,67,Male,2,2,2,3,w,83.33,16.67
3,xb,w5,2,1,1,67,Male,2,2,2,3,w,66.67,33.33
3,xb,w5,3,1,1,67,Male,2,2,2,3,w,50,50
3,xb,w5,4,1,1,67,Male,2,2,2,3,w,33.33,66.67
3,xb,w5,5,1,1,67,Male,2,2,2,3,w,16.67,83.33
3,xb,w5,6,1,1,67,Male,2,2,2,3,w,0,100
3,xb,w10,0,1,2,67,Male,2,2,2,3,w,100,0
3,xb,w10,1,1,2,67,Male,2,2,2,3,w,83.33,16.67
3,xb,w10,2,1,2,67,Male,2,2,2,3,w,66.67,33.33
3,xb,w10,3,1,1,67,Male,2,2,2,3,w,50,50
3,xb,w10,4,1,1,67,Male,2,2,2,3,w,33.33,66.67
3,xb,w10,5,1,1,67,Male,2,2,2,3,w,16.67,83.33
3,xb,w10,6,1,1,67,Male,2,2,2,3,w,0,100
3,xb,w9,0,1,2,67,Male,2,2,2,3,w,100,0
3,xb,w9,1,1,2,67,Male,2,2,2,3,w,83.33,16.67
3,xb,w9,2,1,1,67,Male,2,2,2,3,w,66.67,33.33
3,xb,w9,3,1,1,67,Male,2,2,2,3,w,50,50
3,xb,w9,4,1,1,67,Male,2,2,2,3,w,33.33,66.67
3,xb,w9,5,1,1,67,Male,2,2,2,3,w,16.67,83.33
3,xb,w9,6,1,1,67,Male,2,2,2,3,w,0,100
3,xb,b2,0,1,1,67,Male,2,2,2,3,b,0,100
3,xb,b2,1,1,1,67,Male,2,2,2,3,b,16.67,83.33
3,xb,b2,2,1,1,67,Male,2,2,2,3,b,33.33,66.67
3,xb,b2,3,1,1,67,Male,2,2,2,3,b,50,50
3,xb,b2,4,1,1,67,Male,2,2,2,3,b,66.67,33.33
3,xb,b2,5,1,2,67,Male,2,2,2,3,b,83.33,16.67
3,xb,b2,6,1,2,67,Male,2,2,2,3,b,100,0
3,xb,b4,0,1,1,67,Male,2,2,2,3,b,0,100
3,xb,b4,1,1,1,67,Male,2,2,2,3,b,16.67,83.33
3,xb,b4,2,1,1,67,Male,2,2,2,3,b,33.33,66.67
3,xb,b4,3,1,1,67,Male,2,2,2,3,b,50,50
3,xb,b4,4,1,2,67,Male,2,2,2,3,b,66.67,33.33
3,xb,b4,5,1,2,67,Male,2,2,2,3,b,83.33,16.67
3,xb,b4,6,1,2,67,Male,2,2,2,3,b,100,0
3,xb,b5,0,1,1,67,Male,2,2,2,3,b,0,100
3,xb,b5,1,1,1,67,Male,2,2,2,3,b,16.67,83.33
3,xb,b5,2,1,1,67,Male,2,2,2,3,b,33.33,66.67
3,xb,b5,3,1,2,67,Male,2,2,2,3,b,50,50
3,xb,b5,4,1,2,67,Male,2,2,2,3,b,66.67,33.33
3,xb,b5,5,1,2,67,Male,2,2,2,3,b,83.33,16.67
3,xb,b5,6,1,2,67,Male,2,2,2,3,b,100,0
3,xb,b6,0,1,1,67,Male,2,2,2,3,b,0,100
3,xb,b6,1,1,1,67,Male,2,2,2,3,b,16.67,83.33
3,xb,b6,2,1,1,67,Male,2,2,2,3,b,33.33,66.67
3,xb,b6,3,1,1,67,Male,2,2,2,3,b,50,50
3,xb,b6,4,1,2,67,Male,2,2,2,3,b,66.67,33.33
3,xb,b6,5,1,2,67,Male,2,2,2,3,b,83.33,16.67
3,xb,b6,6,1,2,67,Male,2,2,2,3,b,100,0
3,xb,b7,0,1,1,67,Male,2,2,2,3,b,0,100
3,xb,b7,1,1,1,67,Male,2,2,2,3,b,16.67,83.33
3,xb,b7,2,1,1,67,Male,2,2,2,3,b,33.33,66.67
3,xb,b7,3,1,1,67,Male,2,2,2,3,b,50,50
3,xb,b7,4,1,2,67,Male,2,2,2,3,b,66.67,33.33
3,xb,b7,5,1,2,67,Male,2,2,2,3,b,83.33,16.67
3,xb,b7,6,1,2,67,Male,2,2,2,3,b,100,0
3,xb,b9,0,1,1,67,Male,2,2,2,3,b,0,100
3,xb,b9,1,1,1,67,Male,2,2,2,3,b,16.67,83.33
3,xb,b9,2,1,1,67,Male,2,2,2,3,b,33.33,66.67
3,xb,b9,3,1,2,67,Male,2,2,2,3,b,50,50
3,xb,b9,4,1,2,67,Male,2,2,2,3,b,66.67,33.33
3,xb,b9,5,1,2,67,Male,2,2,2,3,b,83.33,16.67
3,xb,b9,6,1,2,67,Male,2,2,2,3,b,100,0
3,xb,a1,0,1,1,67,Male,2,2,2,3,a,0,100
3,xb,a1,1,1,1,67,Male,2,2,2,3,a,16.67,83.33
3,xb,a1,2,1,1,67,Male,2,2,2,3,a,33.33,66.67
3,xb,a1,3,1,1,67,Male,2,2,2,3,a,50,50
3,xb,a1,4,1,1,67,Male,2,2,2,3,a,66.67,33.33
3,xb,a1,5,1,2,67,Male,2,2,2,3,a,83.33,16.67
3,xb,a1,6,1,2,67,Male,2,2,2,3,a,100,0
3,xb,a3,0,1,1,67,Male,2,2,2,3,a,0,100
3,xb,a3,1,1,1,67,Male,2,2,2,3,a,16.67,83.33
3,xb,a3,2,1,1,67,Male,2,2,2,3,a,33.33,66.67
3,xb,a3,3,1,2,67,Male,2,2,2,3,a,50,50
3,xb,a3,4,1,2,67,Male,2,2,2,3,a,66.67,33.33
3,xb,a3,5,1,2,67,Male,2,2,2,3,a,83.33,16.67
3,xb,a3,6,1,2,67,Male,2,2,2,3,a,100,0
3,xb,a4,0,1,1,67,Male,2,2,2,3,a,0,100
3,xb,a4,1,1,1,67,Male,2,2,2,3,a,16.67,83.33
3,xb,a4,2,1,1,67,Male,2,2,2,3,a,33.33,66.67
3,xb,a4,3,1,1,67,Male,2,2,2,3,a,50,50
3,xb,a4,4,1,2,67,Male,2,2,2,3,a,66.67,33.33
3,xb,a4,5,1,2,67,Male,2,2,2,3,a,83.33,16.67
3,xb,a4,6,1,2,67,Male,2,2,2,3,a,100,0
3,xb,a5,0,1,1,67,Male,2,2,2,3,a,0,100
3,xb,a5,1,1,1,67,Male,2,2,2,3,a,16.67,83.33
3,xb,a5,2,1,1,67,Male,2,2,2,3,a,33.33,66.67
3,xb,a5,3,1,1,67,Male,2,2,2,3,a,50,50
3,xb,a5,4,1,1,67,Male,2,2,2,3,a,66.67,33.33
3,xb,a5,5,1,2,67,Male,2,2,2,3,a,83.33,16.67
3,xb,a5,6,1,2,67,Male,2,2,2,3,a,100,0
3,xb,a8,0,1,1,67,Male,2,2,2,3,a,0,100
3,xb,a8,1,1,1,67,Male,2,2,2,3,a,16.67,83.33
3,xb,a8,2,1,1,67,Male,2,2,2,3,a,33.33,66.67
3,xb,a8,3,1,2,67,Male,2,2,2,3,a,50,50
3,xb,a8,4,1,2,67,Male,2,2,2,3,a,66.67,33.33
3,xb,a8,5,1,2,67,Male,2,2,2,3,a,83.33,16.67
3,xb,a8,6,1,2,67,Male,2,2,2,3,a,100,0
3,xb,a10,0,1,1,67,Male,2,2,2,3,a,0,100
3,xb,a10,1,1,1,67,Male,2,2,2,3,a,16.67,83.33
3,xb,a10,2,1,1,67,Male,2,2,2,3,a,33.33,66.67
3,xb,a10,3,1,1,67,Male,2,2,2,3,a,50,50
3,xb,a10,4,1,2,67,Male,2,2,2,3,a,66.67,33.33
3,xb,a10,5,1,2,67,Male,2,2,2,3,a,83.33,16.67
3,xb,a10,6,1,2,67,Male,2,2,2,3,a,100,0
