id,subj_age,subj_gender,face,masc,condition,scale,race,rating
1,53,Female,w5_0,100,md,f,w,2
1,53,Female,w5_1,83.33,md,f,w,7
1,53,Female,w5_2,66.67,md,f,w,21
1,53,Female,w5_3,50,md,f,w,30
1,53,Female,w5_4,33.33,md,f,w,66
1,53,Female,w5_5,16.67,md,f,w,83
1,53,Female,w5_6,0,md,f,w,99
1,53,Female,w10_0,100,md,f,w,0
1,53,Female,w10_1,83.33,md,f,w,0
1,53,Female,w10_2,66.67,md,f,w,2
1,53,Female,w10_3,50,md,f,w,23
1,53,Female,w10_4,33.33,md,f,w,80
1,53,Female,w10_5,16.67,md,f,w,100
1,53,Female,w10_6,0,md,f,w,94
1,53,Female,w9_0,100,md,f,w,17
1,53,Female,w9_1,83.33,md,f,w,4
1,53,Female,w9_2,66.67,md,f,w,7
1,53,Female,w9_3,50,md,f,w,9
1,53,Female,w9_4,33.33,md,f,w,93
1,53,Female,w9_5,16.67,md,f,w,84
1,53,Female,w9_6,0,md,f,w,89
1,53,Female,b5_0,0,md,f,b,95
1,53,Female,b5_1,16.67,md,f,b,100
1,53,Female,b5_2,33.33,md,f,b,66
1,53,Female,b5_3,50,md,f,b,18
1,53,Female,b5_4,66.67,md,f,b,0
1,53,Female,b5_5,83.33,md,f,b,0
1,53,Female,b5_6,100,md,f,b,0
1,53,Female,a3_0,0,md,f,a,99
1,53,Female,a3_1,16.67,md,f,a,83
1,53,Female,a3_2,33.33,md,f,a,50
1,53,Female,a3_3,50,md,f,a,66
1,53,Female,a3_4,66.67,md,f,a,0
1,53,Female,a3_5,83.33,md,f,a,1
1,53,Female,a3_6,100,md,f,a,0
1,53,Female,a4_0,0,md,f,a,100
1,53,Female,a4_1,16.67,md,f,a,99
1,53,Female,a4_2,33.33,md,f,a,100
1,53,Female,a4_3,50,md,f,a,82
1,53,Female,a4_4,66.67,md,f,a,50
1,53,Female,a4_5,83.33,md,f,a,0
1,53,Female,a4_6,100,md,f,a,0
1,53,Female,b6_0,0,md,f,b,99
1,53,Female,b6_1,16.67,md,f,b,99
1,53,Female,b6_2,33.33,md,f,b,95
1,53,Female,b6_3,50,md,f,b,47
1,53,Female,b6_4,66.67,md,f,b,22
1,53,Female,b6_5,83.33,md,f,b,19
1,53,Female,b6_6,100,md,f,b,2
1,53,Female,b7_0,0,md,f,b,99
1,53,Female,b7_1,16.67,md,f,b,98
1,53,Female,b7_2,33.33,md,f,b,94
1,53,Female,b7_3,50,md,f,b,54
1,53,Female,b7_4,66.67,md,f,b,0
1,53,Female,b7_5,83.33,md,f,b,8
1,53,Female,b7_6,100,md,f,b,0
1,53,Female,a5_0,0,md,f,a,99
1,53,Female,a5_1,16.67,md,f,a,96
1,53,Female,a5_2,33.33,md,f,a,95
1,53,Female,a5_3,50,md,f,a,48
1,53,Female,a5_4,66.67,md,f,a,52
1,53,Female,a5_5,83.33,md,f,a,2
1,53,Female,a5_6,100,md,f,a,0
1,53,Female,w5_0,100,md,m,w,100
1,53,Female,w5_1,83.33,md,m,w,98
1,53,Female,w5_2,66.67,md,m,w,92
1,53,Female,w5_3,50,md,m,w,66
1,53,Female,w5_4,33.33,md,m,w,20
1,53,Female,w5_5,16.67,md,m,w,17
1,53,Female,w5_6,0,md,m,w,0
1,53,Female,w10_0,100,md,m,w,100
1,53,Female,w10_1,83.33,md,m,w,100
1,53,Female,w10_2,66.67,md,m,w,100
1,53,Female,w10_3,50,md,m,w,98
1,53,Female,w10_4,33.33,md,m,w,48
1,53,Female,w10_5,16.67,md,m,w,12
1,53,Female,w10_6,0,md,m,w,2
1,53,Female,w9_0,100,md,m,w,99
1,53,Female,w9_1,83.33,md,m,w,98
1,53,Female,w9_2,66.67,md,m,w,83
1,53,Female,w9_3,50,md,m,w,80
1,53,Female,w9_4,33.33,md,m,w,58
1,53,Female,w9_5,16.67,md,m,w,19
1,53,Female,w9_6,0,md,m,w,4
1,53,Female,b5_0,0,md,m,b,0
1,53,Female,b5_1,16.67,md,m,b,1
1,53,Female,b5_2,33.33,md,m,b,10
1,53,Female,b5_3,50,md,m,b,77
1,53,Female,b5_4,66.67,md,m,b,100
1,53,Female,b5_5,83.33,md,m,b,100
1,53,Female,b5_6,100,md,m,b,100
1,53,Female,a3_0,0,md,m,a,7
1,53,Female,a3_1,16.67,md,m,a,2
1,53,Female,a3_2,33.33,md,m,a,15
1,53,Female,a3_3,50,md,m,a,79
1,53,Female,a3_4,66.67,md,m,a,90
1,53,Female,a3_5,83.33,md,m,a,100
1,53,Female,a3_6,100,md,m,a,100
1,53,Female,a4_0,0,md,m,a,0
1,53,Female,a4_1,16.67,md,m,a,2
1,53,Female,a4_2,33.33,md,m,a,13
1,53,Female,a4_3,50,md,m,a,46
1,53,Female,a4_4,66.67,md,m,a,51
1,53,Female,a4_5,83.33,md,m,a,96
1,53,Female,a4_6,100,md,m,a,100
1,53,Female,b6_0,0,md,m,b,1
1,53,Female,b6_1,16.67,md,m,b,1
1,53,Female,b6_2,33.33,md,m,b,18
1,53,Female,b6_3,50,md,m,b,10
1,53,Female,b6_4,66.67,md,m,b,70
1,53,Female,b6_5,83.33,md,m,b,99
1,53,Female,b6_6,100,md,m,b,100
1,53,Female,b7_0,0,md,m,b,0
1,53,Female,b7_1,16.67,md,m,b,1
1,53,Female,b7_2,33.33,md,m,b,18
1,53,Female,b7_3,50,md,m,b,29
1,53,Female,b7_4,66.67,md,m,b,72
1,53,Female,b7_5,83.33,md,m,b,99
1,53,Female,b7_6,100,md,m,b,100
1,53,Female,a5_0,0,md,m,a,7
1,53,Female,a5_1,16.67,md,m,a,2
1,53,Female,a5_2,33.33,md,m,a,3
1,53,Female,a5_3,50,md,m,a,25
1,53,Female,a5_4,66.67,md,m,a,64
1,53,Female,a5_5,83.33,md,m,a,97
1,53,Female,a5_6,100,md,m,a,100
9,31,female,w1_0,100,md,f,w,0
9,31,female,w1_1,83.33,md,f,w,0
9,31,female,w1_2,66.67,md,f,w,55
9,31,female,w1_3,50,md,f,w,58
9,31,female,w1_4,33.33,md,f,w,55
9,31,female,w1_5,16.67,md,f,w,62
9,31,female,w1_6,0,md,f,w,73
9,31,female,w3_0,100,md,f,w,0
9,31,female,w3_1,83.33,md,f,w,0
9,31,female,w3_2,66.67,md,f,w,4
9,31,female,w3_3,50,md,f,w,32
9,31,female,w3_4,33.33,md,f,w,53
9,31,female,w3_5,16.67,md,f,w,63
9,31,female,w3_6,0,md,f,w,83
9,31,female,w4_0,100,md,f,w,0
9,31,female,w4_1,83.33,md,f,w,0
9,31,female,w4_2,66.67,md,f,w,0
9,31,female,w4_3,50,md,f,w,19
9,31,female,w4_4,33.33,md,f,w,55
9,31,female,w4_5,16.67,md,f,w,87
9,31,female,w4_6,0,md,f,w,59
9,31,female,b2_0,0,md,f,b,77
9,31,female,b2_1,16.67,md,f,b,100
9,31,female,b2_2,33.33,md,f,b,63
9,31,female,b2_3,50,md,f,b,53
9,31,female,b2_4,66.67,md,f,b,38
9,31,female,b2_5,83.33,md,f,b,13
9,31,female,b2_6,100,md,f,b,1
9,31,female,b4_0,0,md,f,b,91
9,31,female,b4_1,16.67,md,f,b,58
9,31,female,b4_2,33.33,md,f,b,62
9,31,female,b4_3,50,md,f,b,28
9,31,female,b4_4,66.67,md,f,b,10
9,31,female,b4_5,83.33,md,f,b,0
9,31,female,b4_6,100,md,f,b,0
9,31,female,a1_0,0,md,f,a,68
9,31,female,a1_1,16.67,md,f,a,60
9,31,female,a1_2,33.33,md,f,a,67
9,31,female,a1_3,50,md,f,a,35
9,31,female,a1_4,66.67,md,f,a,17
9,31,female,a1_5,83.33,md,f,a,5
9,31,female,a1_6,100,md,f,a,0
9,31,female,b9_0,0,md,f,b,86
9,31,female,b9_1,16.67,md,f,b,85
9,31,female,b9_2,33.33,md,f,b,63
9,31,female,b9_3,50,md,f,b,40
9,31,female,b9_4,66.67,md,f,b,22
9,31,female,b9_5,83.33,md,f,b,0
9,31,female,b9_6,100,md,f,b,0
9,31,female,a8_0,0,md,f,a,65
